epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3404.01,1.49421,3.37809,1.54481,0.7305,0.34724,0.55989,0.31661,1.50005,2.97716,1.55235,0.0004125,0.0004125,0.0004125
2,4715.52,1.46935,2.26168,1.42771,0.57417,0.58929,0.54858,0.29318,1.45265,1.99283,1.44068,0.000747079,0.000747079,0.000747079
3,5344.46,1.46949,1.79445,1.41163,0.54454,0.69653,0.65843,0.34071,1.58823,1.88186,1.44124,0.000999158,0.000999158,0.000999158
4,5973.49,1.40677,1.49037,1.36878,0.60033,0.7322,0.776,0.42872,1.3795,1.33073,1.32187,0.00087875,0.00087875,0.00087875
5,6599.78,1.39102,1.18015,1.34119,0.90504,0.82212,0.88856,0.4915,1.36232,1.049,1.27509,0.000755,0.000755,0.000755
6,7223.62,1.36408,1.07117,1.32527,0.78017,0.68837,0.8141,0.44878,1.35831,1.29638,1.2721,0.00063125,0.00063125,0.00063125
7,7847.86,1.31868,0.94872,1.28803,0.84671,0.85496,0.90905,0.54862,1.28343,0.82823,1.24469,0.0005075,0.0005075,0.0005075
8,8474.27,1.28779,0.82789,1.26389,0.90345,0.95108,0.95089,0.55708,1.29555,0.77185,1.23626,0.00038375,0.00038375,0.00038375
9,9099.41,1.26064,0.75974,1.24987,0.968,0.94298,0.96575,0.60282,1.25326,0.66536,1.19096,0.00026,0.00026,0.00026
10,9726.48,1.23009,0.69144,1.22014,0.96152,0.95571,0.96568,0.60758,1.19904,0.61959,1.16154,0.00013625,0.00013625,0.00013625
